servert,return,case,BTC-USD,BTC-EUR,BCH-USD,BCH-EUR,BCH-BTC
1565915493328000.0,1.00069,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493343000.0,1.00068,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493343000.0,1.00072,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493361000.0,1.00055,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493370000.0,1.00071,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493370000.0,1.00076,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493382000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493382000.0,1.00051,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493392000.0,1.00075,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493392000.0,1.00079,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493444000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493444000.0,1.0003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493447000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493461000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493461000.0,1.00058,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493500000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493500000.0,1.00034,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493762000.0,1.00033,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493762000.0,1.00037,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493778000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493778000.0,1.00041,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493824000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493824000.0,1.0003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493943000.0,1.0004,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493943000.0,1.00044,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915493975000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915493975000.0,1.00048,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494380000.0,1.00029,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494380000.0,1.00034,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494600000.0,1.00033,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494600000.0,1.00037,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494730000.0,1.00036,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494730000.0,1.00041,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494150000.0,1.00026,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494150000.0,1.0003,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494216000.0,1.00047,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494216000.0,1.00051,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494227000.0,1.00043,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494227000.0,1.00048,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494239000.0,1.0005,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494239000.0,1.00055,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494328000.0,1.00054,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494328000.0,1.00058,6.0,-1.0,1.0,1.0,-1.0,0.0
1565915494356000.0,1.00057,3.0,0.0,1.0,0.0,-1.0,1.0
1565915494356000.0,1.00062,6.0,-1.0,1.0,1.0,-1.0,0.0
