time_period,period_end_time,high,low,last,volume,spread,midpoint,liquidity_bid,liquidity_ask,volatility_mid_1min,volatility_mid_3min,volatility_last_1min,volatility_last_3min
129.0,7740000000.0,284.02,284.02,284.02,0.0,1.420000000000016,284.15999999999997,433.1487945999999,121.39804436,0.0005867870344059284,0.001203495629268743,0.0012472903176386897,0.0018867485674194265
130.0,7800000000.0,284.02,284.02,284.02,0.0,1.1000000000000227,284.08,394.6790635999999,28.88601937,0.0005588989107077279,0.0011834399044503457,0.0012472903176386897,0.002134365823928445
131.0,7860000000.0,284.02,284.02,284.02,0.0,0.7200000000000273,283.95,245.37996381000002,19.29054602,0.0005672388662337299,0.001218145550506885,0.0012472903176386897,0.002134365823928445
132.0,7920000000.0,284.02,284.02,284.02,0.0,0.6699999999999591,284.065,234.18338479000002,28.290546019999997,0.0005318670178419114,0.0012326420947075993,0.0012472903176386897,0.002134365823928445
133.0,7980000000.0,285.2,285.17,285.2,4.197255960000001,1.1499999999999773,284.385,431.88951302999993,121.49520256000001,0.0004847246113652543,0.0011567198409343715,0.0010210884592442126,0.001982704025020939
134.0,8040000000.0,285.2,285.17,285.2,0.0,0.7700000000000387,284.28499999999997,269.02700332,46.244202560000005,0.0006006604488314099,0.0010489602953507942,0.0016967407599586559,0.002335813929133575
135.0,8100000000.0,285.2,285.17,285.2,0.0,0.7900000000000205,284.265,266.98772618000004,21.70091204,0.0005975838159405144,0.0010203581320866286,0.0016967407599586559,0.0026251563685576206
136.0,8160000000.0,285.2,285.17,285.2,0.0,0.8299999999999841,284.475,237.34548753,30.70091204,0.0005704573402597874,0.0009799393673814072,0.0016967407599586559,0.002933078036204006
137.0,8220000000.0,285.2,285.17,285.2,0.0,0.5,284.51,144.50355415,55.95691203999999,0.0006242881000090209,0.0009568750761099962,0.0016967407599586559,0.002933078036204006
138.0,8280000000.0,285.2,285.17,285.2,0.0,0.6899999999999977,284.55499999999995,310.8076136099999,30.69054602,0.0005496086048219344,0.0009886138105508332,0.0012463910992183721,0.00267866797924833
139.0,8340000000.0,285.2,285.17,285.2,0.0,0.6999999999999886,284.66999999999996,231.09819451,30.69054602,0.0004738303430409015,0.0008330773403162408,0.0012463910992183721,0.0023485918805753805
140.0,8400000000.0,285.2,285.17,285.2,0.0,0.4200000000000159,284.47,144.69169651,20.692546019999998,0.000477234663041448,0.0006515015425949522,0.0012463910992183721,0.0019038938525624684
141.0,8460000000.0,284.66,284.66,284.66,1.0,0.8500000000000227,284.705,312.51484849999986,6.79501937,0.0005315307875220964,0.000566759087573766,0.0012463910992183721,0.0019038938525624684
142.0,8520000000.0,284.66,284.66,284.66,0.0,0.9099999999999682,284.755,235.35019622000002,17.290546019999997,0.0005273391093449662,0.00047914805113322904,0.0014259974525739777,0.002102248011975739
143.0,8580000000.0,284.66,284.66,284.66,0.0,0.9500000000000455,284.875,235.66900332,28.690546019999996,0.0005257679640550968,0.0003867859992422833,0.0014259974525739777,0.0022676820144368016
144.0,8640000000.0,284.66,284.66,284.66,0.0,0.7900000000000205,284.82500000000005,313.3270033199999,26.29054602,0.0004433443889429916,0.00043657600177152573,0.0005680224403926687,0.0021115352253302873
145.0,8700000000.0,284.66,284.66,284.66,0.0,0.75,285.025,228.69235319000003,25.29254602,0.00042531390828729344,0.00040822517527468,0.0005680224403926687,0.0016668308246373105
146.0,8760000000.0,284.66,284.66,284.66,0.0,0.6599999999999682,284.88,139.71211678000003,28.69054602,0.00044090548095469703,0.0004205447427598513,0.0005680224403926687,0.0008676686098443154
